"FCDATOBENEFIC","FNREGISTROS","FNTOTAL","FITIPODATO"
"MARIA DEL CARMEN",762,147212,1
"OCIRIS ZULEIMA",2,147212,1
"LITZI YAMILET",6,147212,1
"MARIA CONCEPCION",155,147212,1
"PAOLA",101,147212,1
"MARIA GUADALUPE",1462,147212,1
"MARIO DIRCEU",2,147212,1
"RAQUEL",169,147212,1
"ARIANA MERCEDES",2,147212,1
"ALMA VERONICA",8,147212,1
"JESUS ANTONIO",54,147212,1
"PERLA",53,147212,1
"LUIS DAVID",59,147212,1
"DIANA VANESSA",10,147212,1
"YASMIN",46,147212,1
"REBECA",146,147212,1
"KAREN ALEJANDRA",29,147212,1
"EDUARDO",306,147212,1
"JULIAN",33,147212,1
"LEODAN",4,147212,1
"JORGE ERNESTO",2,147212,1
"BRENDA LORENA",8,147212,1
"ANDRES",140,147212,1
"VICTOR HUGO",141,147212,1
"MICHEL KARINA",4,147212,1
"LESLY KAREN",2,147212,1
"JOSE OSBALDO",2,147212,1
"ESTEBAN ALESSANDRO",5,147212,1
"NORMA",173,147212,1
"OFELIA",96,147212,1
"MONSERRAT",147,147212,1
"MARBELLA",29,147212,1
"JUAN CARLOS",524,147212,1
"DOREELIA GUADALUPE",2,147212,1
"MARTHA SUSANA",11,147212,1
"VICTOR MANUEL",225,147212,1
"INES ITALIA",4,147212,1
"JAIRO EDENILSON",2,147212,1
"GABRIELA",729,147212,1
"DANYELA",3,147212,1
"MARIA DE LOURDES",297,147212,1
"YATZIRI LILIANA",2,147212,1
"MONICA",313,147212,1
"JOSE EDUARDO",71,147212,1
"DIANA MARLENE",5,147212,1
"JUAN DANIEL",51,147212,1
"JAIME ANTONIO",16,147212,1
"MARICELA",277,147212,1
"MARIANA",257,147212,1
"JOSE MARIA",60,147212,1
"PERLA LIZEBTH",2,147212,1
"HUGO FRANCISCO",17,147212,1
"YARELI",58,147212,1
"ALEX JOVANY",2,147212,1
"JOEL ALEJANDRO",4,147212,1
"ALTHAIR",6,147212,1
"MANUEL",185,147212,1
"KARELY REFUGIO",2,147212,1
"ANAHI YOLANDA",2,147212,1
"MARITZA ANTONIA",4,147212,1
"YIBE JANNETTE",4,147212,1
"VERONICA BEATRIZ",2,147212,1
"JUANA",341,147212,1
"LAURA CELESTE",1,147212,1
"JUAN MANUEL",248,147212,1
"JOSE FRANCISCO",83,147212,1
"SERGIO GAEL",2,147212,1
"CELENE YUTZEL",2,147212,1
"MARIA FERNANDA",318,147212,1
"KAREN ESTEFANIA",10,147212,1
"NANCY GENESIS",6,147212,1
"DANTE ISMAEL",2,147212,1
"EVELYN GUADALUPE",6,147212,1
"MARIA DE LOS ANGELES",420,147212,1
"MARCO ANTONIO",314,147212,1
"MIRNA NAYELI",2,147212,1
"ANGEL MIGUEL",6,147212,1
"RUBEN",176,147212,1
"DIANA CRISTINA",6,147212,1
"MARIA LAURA",22,147212,1
"ERIKA JAZMIN",25,147212,1
"OBED ISAAC",2,147212,1
"WENDY",91,147212,1
"RICARDO EDEL",2,147212,1
"RODRIGO",109,147212,1
"DANIELA PATRICIA",6,147212,1
"SUSANA",291,147212,1
"DANIEL",420,147212,1
"CARLOS ALBERTO",154,147212,1
"ERICK NICOLAS",5,147212,1
"SOFIA LORENA",4,147212,1
"WILLIAM MANUEL",2,147212,1
"GERARDO JONATHAN",8,147212,1
"MAYRA YESENIA",8,147212,1
